first,last,state,district,party,healthcare,college_tuition,minimum_wage,wall_street,womens_rights,voting_rights,justice,climate,score
Donald,McEachin,VA,4,D,,,True,,True,True,,,
Donald,"Beyer, Jr.",VA,8,D,,,True,,True,True,,,
Gerald,Connolly,VA,11,D,,,,,True,True,,,
Stacey,Plaskett,VI,Delegate,D,,,,,,,,,
Peter,Welch,VT,At Large,D,True,True,True,,True,True,True,,
Suzan,DelBene,WA,1,D,,,True,,True,True,,,
Rick,Larsen,WA,2,D,,,True,,True,,,,
Derek,Kilmer,WA,6,D,,,True,,True,True,,,
Pramila,Jayapal,WA,7,D,True,,True,True,True,True,True,,
Adam,Smith,WA,9,D,True,True,True,,True,True,True,,
Denny,Heck,WA,10,D,,,True,,True,True,,,
Mark,Pocan,WI,2,D,True,True,True,True,True,True,,,
Ron,Kind,WI,3,D,,,,,,True,,,
Gwen,Moore,WI,4,D,True,True,True,,True,True,True,,
