first,last,state,district,party,healthcare,college_tuition,minimum_wage,workers_rights,womens_rights,voting_rights,justice,climate
Salud,Carbajal,CA,24,D,,,5/25/2017,,5/16/2017,,,
Tony,CÃ¡rdenas,CA,29,D,,,5/25/2017,,1/31/2017,,,
Norma,Torres,CA,35,D,,,5/25/2017,,1/31/2017,,,
Scott,Peters,CA,52,D,,,5/25/2017,,1/31/2017,,,
Joe,Courtney,CT,02,D,,,5/25/2017,,,6/8/2017,,
Charlie,Crist,FL,13,D,,,5/25/2017,,2/14/2017,,,
Cheri,Bustos,IL,17,D,,,5/25/2017,,,6/8/2017,,
Seth,Moulton,MA,06,D,,,5/25/2017,,1/31/2017,,,
John,Delaney,MD,06,D,,,5/25/2017,,,6/8/2017,,
Carol,Shea-Porter,NH,01,D,,,5/25/2017,,,6/12/2017,,
Ruben,Kihuen,NV,04,D,,,5/25/2017,,,6/12/2017,,
Thomas,Suozzi,NY,03,D,,,6/6/2017,,,6/8/2017,,
Kathleen,Rice,NY,04,D,,,5/25/2017,,1/31/2017,,,
Jim,Cooper,TN,05,D,4/25/2017,,,,,6/8/2017,,
Joaquin,Castro,TX,20,D,,,5/25/2017,,,6/8/2017,,
Rick,Larsen,WA,02,D,,,5/25/2017,,4/24/2017,,,
Michelle,Lujan Grisham,NM,01,D,,,,,1/31/2017,6/8/2017,,
Julia,Brownley,CA,26,D,,,,,1/31/2017,6/8/2017,,
Gerald,Connolly,VA,11,D,,,,,1/31/2017,6/8/2017,,
Lisa,Blunt Rochester,DE,At Large,D,,,5/25/2017,,6/21/2017,,,
Beto,O'Rourke,TX,16,D,,,,,1/31/2017,7/12/2017,,
Joseph,Kennedy III,MA,04,D,,,6/20/2017,,1/31/2017,,,
A.,Donald McEachin,VA,04,D,,,,,2/1/2017,7/12/2017,,
Gregorio,Kilili Camacho	Sablan,MP,Delegate,D,4/17/2017,Not Signed,5/25/2017,,,,,
Timothy,Walz,MN,01,D,,,5/25/2017,,,7/18/2017,,
Emanuel,Cleaver,MO,05,D,1/24/2017,,,,,,,
Bill,"Pascrell, Jr.",NJ,09,D,,,5/25/2017,,,,,
Nancy,Pelosi,CA,12,D,,,5/25/2017,,,,,
Brad,Sherman,CA,30,D,,,5/25/2017,,,,,
Raul,Ruiz,CA,36,D,,,5/25/2017,,,,,
J.,Luis Correa,CA,46,D,4/5/2017,,,,,,,
Juan,Vargas,CA,51,D,,,5/25/2017,,,,,
John,Larson,CT,01,D,,,5/25/2017,,,,,
James,Himes,CT,04,D,,,6/7/2017,,,,,
Al,"Lawson, Jr.",FL,05,D,4/25/2017,,,,,,,
Stephanie,Murphy,FL,07,D,,,5/25/2017,,,,,
Val,Butler Demings,FL,10,D,,,5/25/2017,,,,,
Colleen,Hanabusa,HI,01,D,,,5/25/2017,,,,,
Raja,Krishnamoorthi,IL,08,D,,,5/25/2017,,,,,
C.A.,Dutch Ruppersberger,MD,02,D,,,6/16/2017,,,,,
Steny,Hoyer,MD,05,D,,,5/25/2017,,,,,
Ben,Ray LujÃ¡n,NM,03,D,,,5/25/2017,,,,,
Vicente,Gonzalez,TX,15,D,4/17/2017,,,,,,,
David,Scott,GA,13,D,,,,,5/8/2017,,,
Cedric,Richmond,LA,02,D,,,,,1/31/2017,,,
Ami,Bera,CA,07,D,,,,,1/31/2017,,,
Bradley,Scott Schneider,IL,10,D,,,,,1/31/2017,,,
Richard,Neal,MA,01,D,,,,,,6/8/2017,,
William,Keating,MA,09,D,,,,,1/31/2017,,,
Ann,Kuster,NH,02,D,,,,,,6/8/2017,,
Lloyd,Doggett,TX,35,D,,,,,1/31/2017,,,
Ron,Kind,WI,03,D,,,,,,6/8/2017,,
Sanford,"Bishop, Jr.",GA,02,D,7/17/2017,,,,,,,
Josh,Gottheimer,NJ,05,D,,,7/18/2017,,,,,
Jacky,Rosen,NV,03,D,,,,,7/25/2017,,,
Tom,O'Halleran,AZ,01,D,,,,,,,,
Kyrsten,Sinema,AZ,09,D,,,,,,,,
Jim,Costa,CA,16,D,,,,,,,,
Madeleine,Bordallo,GU,Delegate,D,,,,,,,,
Daniel,Lipinski,IL,03,D,,,,,,,,
Stephen,Lynch,MA,08,D,,,,,,,,
Collin,Peterson,MN,07,D,,,,,,,,
Kurt,Schrader,OR,05,D,,,,,,,,
Henry,Cuellar,TX,28,D,,,,,,,,
Filemon,Vela,TX,34,D,,,,,,,,
Stacey,Plaskett,VI,Delegate,D,,,,,,,,
Jimmy,Gomez,CA,34,D,7/28/2017,,,,,,,
