first,last,state,district,party,healthcare,college_tuition,minimum_wage,workers_rights,womens_rights,voting_rights,justice,climate
Peter,Visclosky,IN,01,D,TRUE,,TRUE,,,,,
Michael,Doyle,PA,14,D,TRUE,,TRUE,,,,,
Gregorio,Kilili Camacho	Sablan,MP,Delegate,D,TRUE,,TRUE,,,,,
Emanuel,Cleaver,MO,05,D,TRUE,,,,,,,
Bill,"Pascrell, Jr.",NJ,09,D,,,TRUE,,,,,
Nancy,Pelosi,CA,12,D,,,TRUE,,,,,
Brad,Sherman,CA,30,D,,,TRUE,,,,,
Raul,Ruiz,CA,36,D,,,TRUE,,,,,
J.,Luis Correa,CA,46,D,TRUE,,,,,,,
Juan,Vargas,CA,51,D,,,TRUE,,,,,
John,Larson,CT,01,D,,,TRUE,,,,,
James,Himes,CT,04,D,,,TRUE,,,,,
Al,"Lawson, Jr.",FL,05,D,TRUE,,,,,,,
Stephanie,Murphy,FL,07,D,,,TRUE,,,,,
Val,Butler Demings,FL,10,D,,,TRUE,,,,,
Colleen,Hanabusa,HI,01,D,,,TRUE,,,,,
Raja,Krishnamoorthi,IL,08,D,,,TRUE,,,,,
C.A.,Dutch Ruppersberger,MD,02,D,,,TRUE,,,,,
Steny,Hoyer,MD,05,D,,,TRUE,,,,,
Ben,Ray LujÃ¡n,NM,03,D,,,TRUE,,,,,
Vicente,Gonzalez,TX,15,D,TRUE,,,,,,,
Sanford,"Bishop, Jr.",GA,02,D,TRUE,,,,,,,
Josh,Gottheimer,NJ,05,D,,,TRUE,,,,,
Tom,O'Halleran,AZ,01,D,,,,,,,,
Kyrsten,Sinema,AZ,09,D,,,,,,,,
Jim,Costa,CA,16,D,,,,,,,,
Madeleine,Bordallo,GU,Delegate,D,,,,,,,,
Daniel,Lipinski,IL,03,D,,,,,,,,
Stephen,Lynch,MA,08,D,,,,,,,,
Collin,Peterson,MN,07,D,,,,,,,,
Kurt,Schrader,OR,05,D,,,,,,,,
Henry,Cuellar,TX,28,D,,,,,,,,
Filemon,Vela,TX,34,D,,,,,,,,
Stacey,Plaskett,VI,Delegate,D,,,,,,,,
Jimmy,Gomez,CA,34,D,TRUE,,,,,,,
